Lugar_ID,Ciudad,GobAdmin_2,GobAdmin_1,Nacion,Longitud,Latitud
FR128,Mirecourt,Vosges,Lorraine,7,6.13386,48.3022
FR129,Monthureux-sur-Saone,Vosges,Lorraine,7,5.972523,48.030485
FR130,Saint-Die,Vosges,Lorraine,7,6.94777,48.2875
FR131,Pamiers,Ariege,Midi-Pyrenees,7,1.607953,43.114753
FR132,Cintegabelle,Haute-Garonne,Midi-Pyrenees,7,1.53157,43.313989
FR133,Toulouse,Haute-Garonne,Midi-Pyrenees,7,1.444209,43.604652
FR134,Cahors,Lot,Midi-Pyrenees,7,1.441989,44.4475229
FR135,Figeac,Lot,Midi-Pyrenees,7,2.032871,44.608288
FR136,Montauban,Tarn-et-Garonne,Midi-Pyrenees,7,1.3529599,44.0221252
FR137,NA,NA,NA,7,NA,NA
FR138,Bailleul,Nord,Nord-Pas-de-Calais,7,2.73559,50.736482
FR139,Bergues,Nord,Nord-Pas-de-Calais,7,NA,NA
FR140,Cambrai,Nord,Nord-Pas-de-Calais,7,3.236633,50.173538
FR141,Cassel,Nord,Nord-Pas-de-Calais,7,NA,NA
FR142,Douai,Nord,Nord-Pas-de-Calais,7,3.080602,50.367874
FR143,Dunkirk,Nord,Nord-Pas-de-Calais,7,2.3767763,51.0343684
FR144,Gravelines,Nord,Nord-Pas-de-Calais,7,2.125537,50.98707
FR145,Hondschoote,Nord,Nord-Pas-de-Calais,7,3.199481,50.038278
FR146,Houtkerque,Nord,Nord-Pas-de-Calais,7,NA,NA
FR147,Lille,Nord,Nord-Pas-de-Calais,7,3.057256,50.62925
FR148,Merville,Nord,Nord-Pas-de-Calais,7,NA,NA
FR149,Mons-en-Pevele,Nord,Nord-Pas-de-Calais,7,3.099575,50.480352
FR150,Morbecque,Nord,Nord-Pas-de-Calais,7,NA,NA
FR151,NA,Nord,Nord-Pas-de-Calais,7,NA,NA
FR152,Pecquencourt,Nord,Nord-Pas-de-Calais,7,3.212056,50.375524
FR153,Valenciennes,Nord,Nord-Pas-de-Calais,7,3.518332,50.357113
FR154,Calais,Pas-de-Calais,Nord-Pas-de-Calais,7,1.858686,50.95129
FR155,Lens,Pas-de-Calais,Nord-Pas-de-Calais,7,2.83183,50.42893
FR156,NA,Pas-de-Calais,Nord-Pas-de-Calais,7,NA,NA
FR157,Rouvroy,Pas-de-Calais,Nord-Pas-de-Calais,7,2.90375,50.393268
FR158,Saint-Omer,Pas-de-Calais,Nord-Pas-de-Calais,7,2.252208,50.750115
FR159,Nantes,Loire-Atlantique,Pays de la Loire,7,-1.553621,47.218371
FR160,Angers,Maine-et-Loire,Pays de la Loire,7,-0.563166,47.478419
FR161,Saumur,Maine-et-Loire,Pays de la Loire,7,-0.080893,47.260135
FR162,Chauny,Aisne,Picardie,7,3.219421,49.615576
FR163,Laon,Aisne,Picardie,7,3.61989,49.564133
FR164,Saint-Quentin,Aisne,Picardie,7,3.2874,49.847066
FR165,Soissons,Aisne,Picardie,7,3.32342,49.376636
FR166,Amiens,Somme,Picardie,7,2.295753,49.894067
FR167,Corbie,Somme,Picardie,7,2.511947,49.907676
